Time,Coin,Quantity,Description
2021-08-14 21:00:00,USDT,0.00000914,FTX App Earn
2021-08-14 22:00:00,USDT,0.00000914,FTX App Earn
2021-08-14 22:00:00,DOGE,0.06837503,FTX App Earn
2021-08-14 23:00:00,USDT,0.00000914,FTX App Earn
2021-08-14 23:00:00,DOGE,0.06837565,FTX App Earn
2021-08-15 00:00:00,DOGE,0.06837627,FTX App Earn
2021-08-15 00:00:00,USDT,0.00000914,FTX App Earn
2021-08-15 01:00:00,USDT,0.00000914,FTX App Earn
2021-08-15 01:00:00,DOGE,0.06837690,FTX App Earn
2021-08-15 02:00:00,USDT,0.00000914,FTX App Earn
2021-08-15 02:00:00,DOGE,0.06837752,FTX App Earn
2021-08-15 03:00:00,DOGE,0.06837815,FTX App Earn
2021-08-15 03:00:00,USDT,0.00000914,FTX App Earn
2021-08-15 04:00:00,DOGE,0.06837877,FTX App Earn
2021-08-15 04:00:00,USDT,0.00000914,FTX App Earn
2021-08-15 05:00:00,DOGE,0.06837940,FTX App Earn
2021-08-15 05:00:00,USDT,0.00000914,FTX App Earn
2021-08-15 06:00:00,USDT,0.00000914,FTX App Earn
2021-08-15 06:00:00,DOGE,0.06838002,FTX App Earn
2021-08-15 07:00:00,DOGE,0.06838065,FTX App Earn
2021-08-15 07:00:00,USDT,0.00000914,FTX App Earn
2021-08-15 08:00:00,USDT,0.00000914,FTX App Earn
2021-08-15 08:00:00,DOGE,0.06838127,FTX App Earn
2021-08-15 09:00:00,USDT,0.00000914,FTX App Earn
2021-08-15 09:00:00,DOGE,0.06838190,FTX App Earn
2021-08-15 10:00:00,USDT,0.00000914,FTX App Earn
2021-08-15 10:00:00,DOGE,0.06838252,FTX App Earn
2021-08-15 11:00:00,DOGE,0.06838314,FTX App Earn
2021-08-15 11:00:00,USDT,0.00000914,FTX App Earn
2021-08-15 12:00:00,DOGE,0.06838377,FTX App Earn
2021-08-15 12:00:00,USDT,0.00000914,FTX App Earn
2021-08-15 13:00:00,DOGE,0.06838439,FTX App Earn
2021-08-15 13:00:00,USDT,0.00000914,FTX App Earn
2021-08-15 14:00:00,DOGE,0.06838502,FTX App Earn
2021-08-15 14:00:00,USDT,0.00000914,FTX App Earn
2021-08-15 15:00:00,USDT,0.00000914,FTX App Earn
2021-08-15 15:00:00,DOGE,0.06838564,FTX App Earn
2021-08-15 16:00:00,USDT,0.00000914,FTX App Earn
2021-08-15 16:00:00,DOGE,0.06838627,FTX App Earn
2021-08-15 17:00:00,USDT,0.00000914,FTX App Earn
2021-08-15 17:00:00,DOGE,0.06838689,FTX App Earn
2021-08-15 18:00:00,DOGE,0.06838752,FTX App Earn
2021-08-15 18:00:00,USDT,0.00000914,FTX App Earn
2021-08-15 19:00:00,DOGE,0.06838814,FTX App Earn
2021-08-15 19:00:00,USDT,0.00000914,FTX App Earn
2021-08-15 20:00:00,DOGE,0.06838876,FTX App Earn
2021-08-15 20:00:00,USDT,0.00000914,FTX App Earn
2021-08-15 21:00:00,DOGE,0.06838939,FTX App Earn
2021-08-15 21:00:00,USDT,0.00000914,FTX App Earn
2021-08-15 22:00:00,USDT,0.00000914,FTX App Earn
2021-08-15 22:00:00,DOGE,0.06839001,FTX App Earn
2021-08-15 23:00:00,USDT,0.00000914,FTX App Earn
2021-08-15 23:00:00,DOGE,0.06839064,FTX App Earn
2021-08-16 00:00:00,USDT,0.00000914,FTX App Earn
2021-08-16 00:00:00,DOGE,0.06839126,FTX App Earn
2021-08-16 01:00:00,DOGE,0.06839189,FTX App Earn
2021-08-16 01:00:00,USDT,0.00000914,FTX App Earn
2021-08-16 02:00:00,DOGE,0.06839251,FTX App Earn
2021-08-16 02:00:00,USDT,0.00000914,FTX App Earn
2021-08-16 03:00:00,USDT,0.00000914,FTX App Earn
2021-08-16 03:00:00,DOGE,0.06839314,FTX App Earn
2021-08-16 04:00:00,USDT,0.00000914,FTX App Earn
2021-08-16 04:00:00,DOGE,0.06839376,FTX App Earn
2021-08-16 05:00:00,DOGE,0.06839439,FTX App Earn
2021-08-16 05:00:00,USDT,0.00000914,FTX App Earn
2021-08-16 06:00:00,DOGE,0.06839501,FTX App Earn
2021-08-16 06:00:00,USDT,0.00000914,FTX App Earn
2021-08-16 07:00:00,DOGE,0.06839564,FTX App Earn
2021-08-16 07:00:00,USDT,0.00000914,FTX App Earn
2021-08-16 08:00:00,USDT,0.00000914,FTX App Earn
2021-08-16 08:00:00,DOGE,0.06839626,FTX App Earn
2021-08-16 09:00:00,USDT,0.00000914,FTX App Earn
2021-08-16 09:00:00,DOGE,0.06839688,FTX App Earn
2021-08-16 10:00:00,USDT,0.00000914,FTX App Earn
2021-08-16 10:00:00,DOGE,0.06839751,FTX App Earn
2021-08-16 11:00:00,DOGE,0.06839813,FTX App Earn
2021-08-16 11:00:00,USDT,0.00000914,FTX App Earn
2021-08-16 12:00:00,DOGE,0.06839876,FTX App Earn
2021-08-16 12:00:00,USDT,0.00000914,FTX App Earn
2021-08-16 13:00:00,USDT,0.00000914,FTX App Earn
2021-08-16 13:00:00,DOGE,0.06839938,FTX App Earn
2021-08-16 14:00:00,USDT,0.00000914,FTX App Earn
2021-08-16 14:00:00,DOGE,0.06840001,FTX App Earn
2021-08-16 15:00:00,USDT,0.00000914,FTX App Earn
2021-08-16 15:00:00,DOGE,0.06840063,FTX App Earn
2021-08-16 16:00:00,DOGE,0.06840126,FTX App Earn
2021-08-16 16:00:00,USDT,0.00000914,FTX App Earn
2021-08-16 17:00:00,USDT,0.00000914,FTX App Earn
2021-08-16 17:00:00,DOGE,0.06840188,FTX App Earn
2021-08-16 18:00:00,DOGE,0.06840251,FTX App Earn
2021-08-16 18:00:00,USDT,0.00000914,FTX App Earn
2021-08-16 19:00:00,DOGE,0.06840313,FTX App Earn
2021-08-16 19:00:00,USDT,0.00000914,FTX App Earn
2021-08-16 20:00:00,USDT,0.00000914,FTX App Earn
2021-08-16 20:00:00,DOGE,0.06840376,FTX App Earn
2021-08-16 21:00:00,USDT,0.00000914,FTX App Earn
2021-08-16 21:00:00,DOGE,0.06840438,FTX App Earn
2021-08-16 22:00:00,DOGE,0.06840501,FTX App Earn
2021-08-16 22:00:00,USDT,0.00000914,FTX App Earn
2021-08-16 23:00:00,DOGE,0.06840563,FTX App Earn
2021-08-16 23:00:00,USDT,0.00000914,FTX App Earn
2021-08-17 00:00:00,USDT,0.00000914,FTX App Earn
2021-08-17 00:00:00,DOGE,0.06840625,FTX App Earn
2021-08-17 01:00:00,DOGE,0.06840688,FTX App Earn
2021-08-17 01:00:00,USDT,0.00000914,FTX App Earn
